,word,df1,df2,df3,df4,df5,df6,df7,df8,df9,df10,df11,df12,df13,df14,df15,df16,df17,df18,df19,df20,df21,df22,df23,df24,df25,df26,df27,df28,df29,df30,df31,df32,df33,df34,df35,df36,df37,df38,df39,df40,df41,df42,df43,df44,df45,df46,df47,df48,df49,df50
790,mean,0,3.3978953,0,1.0,1.0,0,0,2.0986123,0,1.6931472,1.6931472,0,1.0,0,1.0,0,0,1.0,1.0,2.0986123,1.0,1.0,2.0986123,1.6931472,1.6931472,1.0,0,1.0,0,1.0,2.3862944,0,0,1.0,1.0,0,0,0,0,0,1.0,0,1.0,1.0,1.6931472,1.6931472,0,0,0,0
791,hitherto,1.0,1.6931472,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
792,lifetim,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793,univers,0,2.9459102,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3862944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794,petersburg,0,2.0986123,0,0,0,0,1.6931472,1.0,0,0,0,0,0,0,0,1.0,0,0,2.7917595,0,0,0,0,0,2.3862944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
795,sixti,0,1.6931472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,seventi,1.0,1.6931472,0,0,1.0,0,0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
797,month,1.0,2.609438,0,0,1.0,1.0,1.0,1.6931472,2.0986123,1.0,0,0,0,0,0,1.0,1.0,0,0,1.0,0,1.0,0,0,1.0,0,1.0,0,1.0,0,1.6931472,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1.0,1.0,0
798,concept,0,2.0986123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,poverti,0,2.0986123,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,0,0,1.0,1.0,0,1.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.6931472,0,0,0,0,0
